date,HIS_all_norm,HIS_all_norm_MA12,HIS_threats_norm,HIS_threats_norm_MA12,HIS_acts_norm,HIS_acts_norm_MA12
2000-05,132.25242203517,72.39224775977328,133.639867499545,68.55697373255353,129.335290683148,69.64185058076083
2000-06,88.1715720238577,71.3201989587346,88.4798273800567,68.18913530949324,80.739368934078,66.92484676870575
2000-07,72.082138724214,73.41076762323898,78.6619863150587,72.52285760278441,49.5589418131026,67.83541509896362
2000-08,71.3747537629423,75.78674713585387,62.5695112126652,74.61706635873603,67.1276946493251,70.75702606908646
2000-09,66.5355112680962,76.95348695075826,59.8557607385705,75.68937565671959,56.0350185984697,71.18651196429356
2000-10,74.4947900828899,79.23409194653718,80.8953874533193,79.41820947888756,62.4877987509733,72.93107309078357
2000-11,101.706704499195,83.05455484789314,105.311606988683,83.8848375155374,100.618635996936,77.58751248973489
2000-12,60.9013313649182,84.5947862349798,63.1472820749218,86.00436210546214,49.1716132755413,78.15553141589162
2001-01,59.3370128137582,82.4070198882188,51.9521248351548,82.42166878301379,50.4291492480315,75.66337840811762
2001-02,67.2717466495265,83.13546076570994,69.1357688373904,83.15645345360646,61.2799659724207,76.0172491571553
2001-03,65.4673473781171,81.23759148256876,50.635495136999,80.93486050442554,59.911472276713,73.42096591452402
2001-04,55.2419458495615,76.23643970435388,61.3023678006394,75.46558218941698,44.9916213230026,67.64054762681181
2001-05,45.8627095725022,69.03729699913157,45.5071661596676,68.12119041109386,43.4210668903396,60.48102897741111
2001-06,87.4961170234312,68.98100908242937,67.8615899940374,66.40300396225892,83.3496003916189,60.69854826553953
2001-07,83.710482380713,69.95003772047095,65.9091882284084,65.3402707883714,76.1897441224325,62.91778179131702
2001-08,51.655705645296,68.30678371066709,34.024209701624,62.96149566245129,49.2788750561379,61.43038015855142
2001-09,41.7879951734315,66.24449070277836,41.975040837607,61.47143567070435,41.9459849459326,60.25629402083999
2001-10,56.491611934178,64.74422585705237,51.3439635407986,59.00881701132761,54.1200653436908,59.55898290356645
2001-11,71.1884047481824,62.20103421113465,63.7809995578039,55.54793305875436,75.7776436924593,57.48890021152673
2001-12,120.094070583227,67.13376247932705,107.567167078913,59.2495901424203,126.531896191537,63.93559045452637
2002-01,99.2859135343679,70.46283753937786,94.5083923561364,62.79594576916875,102.388766843791,68.26555858750633
2002-02,70.9482282264959,70.76921100412531,58.4031896600288,61.90156417105529,66.0506210776081,68.66311317960528
2002-03,82.3707606858112,72.17782877976649,74.796469427473,63.91497869526145,77.8286320095783,70.15620982401072
2002-04,61.1637105404425,72.67130917067324,49.8141754954908,62.95762933649907,53.7879282490939,70.88923540118499
2002-05,70.5111775202512,74.72534816631898,61.7545943696011,64.31158168732686,60.9764933339868,72.35218760482226
2002-06,73.0694038357738,73.52312206734753,72.2672906139098,64.67872340564956,67.0949622990347,70.99763443044024
2002-07,89.6922117573056,74.02159951539691,72.4070863361996,65.22021491463217,95.6943059172433,72.62301458000782
2002-08,70.3393799921332,75.57857237763335,65.2710445016985,67.82411781463837,65.4965818949907,73.9744901499122
2002-09,63.1588503610265,77.3594769765996,45.9522602292348,68.15555276394069,65.1555927561819,75.90862413409965
2002-10,78.4859094376872,79.19233510189203,80.2149550246006,70.5614687209242,74.8589093843227,77.63686113748564
2002-11,94.1364563642406,81.10467273656356,101.079045753259,73.66963923721211,71.0914324838059,77.24634353676453
2002-12,100.922872080293,79.50707286131906,102.441710278397,73.2425178371691,96.6902462821401,74.75953937764812
2003-01,70.9571967701521,77.14634646430106,59.4989681480331,70.32506581982717,75.5632292821102,72.52407791417471
2003-02,55.7079100205356,75.8763199471377,59.6877462281683,70.43211220050547,51.1255108093447,71.28031872515277
2003-03,45.9032785594075,72.83736310327073,46.5940996929833,68.08191472263132,45.3524477963098,68.57397004071372
2003-04,74.2713291715484,73.9296646558629,70.6592049892318,69.8190005137764,74.7858358983563,70.32379567815225
2003-05,59.3484665877814,72.99943874482375,54.6949074027484,69.23069326653868,50.9001320761981,69.48409890666987
2003-06,73.7740242976357,73.05815711664557,66.1237846486625,68.7187344361014,63.3259950141154,69.17001829959325
2003-07,73.1578542924053,71.68029399457053,49.7971064896101,66.83456944888562,69.4738100291765,66.98497697558768
2003-08,75.0199748525309,72.07034356627035,49.0688727874857,65.48438847270121,70.9596048312981,67.44022888694664
2003-09,71.5013073260422,72.765548313355,61.661257978394,66.79347161846448,67.1111397520706,67.60319113660402
2003-10,61.9041549599952,71.38373544021398,51.1078699774604,64.36788119786947,64.7360420286817,66.75961885696728
2003-11,74.4387448286759,69.74225947891694,67.6198389297279,61.57961396257522,75.2204429380556,67.10370306148809
2003-12,99.7762953065939,69.64671141444201,116.84277813083,62.77970295027796,105.415129959891,67.83077670130066
2004-01,146.37488992086,75.931519177001,165.967927093984,71.65211619577387,158.877451458957,74.77362854937124
2004-02,624.865506258326,123.3613188634835,695.907517322051,124.6704304535974,599.971284202239,120.5107763321124
2004-03,656.784092563548,174.2680533638286,659.114253144041,175.7137765745189,623.917549645178,168.7245348195181
2004-04,182.592911042541,183.2948518530779,183.869882970808,185.1479997396502,162.647999325517,176.0463817717815
2004-05,221.391172719854,196.7984106974174,187.531867180136,196.2177463877659,195.998988085324,188.1379531058753
2004-06,148.659505793374,203.0388674887289,106.515357312826,199.5837107764462,136.507928720373,194.2364475813968
2004-07,128.332140887553,207.6367247049912,96.2016474103108,203.4507558531712,120.878197680468,198.5201465523378
2004-08,74.5894099085288,207.600844292991,62.0792864451785,204.5349569913123,70.5652653953059,198.4872849326717
2004-09,82.7367955191154,208.5371349757471,72.0571321943874,205.4012798426451,82.1397502945291,199.7396691445433
2004-10,131.072578851057,214.3011703000023,120.785021165058,211.2077091082782,128.763101388337,205.0752574245146
2004-11,115.854134800468,217.7524527976516,107.336706830858,214.517448100039,106.324251239459,207.6672414496315
2004-12,116.199011163021,219.1210124523539,105.906184561286,213.606065302577,106.388950731284,207.7483931805809
2005-01,112.281635618631,216.2799079271681,76.0213603729205,206.1105180758218,94.4750920527759,202.3815298967325
2005-02,102.521601100309,172.751249164,75.4165608973902,154.4029383737667,97.0246934360343,160.4693139995487
2005-03,139.040972389388,129.6059891494867,122.354233951677,109.672936774403,147.191262925547,120.7421234395795
2005-04,149.591471532052,126.8558691902793,132.459424410949,105.3887318944148,145.474335222722,119.3109847643466
2005-05,140.56794031874,120.1205998235198,111.816718008038,99.07913613007328,140.377513880974,114.6758619139841
2005-06,177.627474906138,122.5345972495834,183.354551877281,105.4824023437779,169.883911888808,117.457193844687
2005-07,96.3019071538849,119.8654111051111,100.56299647556,105.8458480992153,89.3183900135312,114.8272098724423
2005-08,89.2287324383607,121.0853546492637,59.4978196745035,105.6307258683257,77.8103804144347,115.4309694573697
2005-09,85.7035769590455,121.3325864359246,75.6810474701852,105.9327188079755,79.557421204659,115.2157753665472
2005-10,100.349160561492,118.7723015784608,86.2646169963204,103.0560184605807,77.6866319969541,110.9594029172653
2005-11,94.3403564907519,116.9794867193178,61.5487971712733,99.24035932228202,84.748791592356,109.1614479466734
2005-12,161.705839280246,120.7717223957533,112.205367238303,99.76529121203343,164.465376262608,114.0011500742837
2006-01,183.871314649399,126.7375289816506,147.373670194362,105.7113170304869,199.189844181684,122.7273794183594
2006-02,292.092675141338,142.5351184850697,331.233270917509,127.0293761988301,254.919062243034,135.8852434856093
2006-03,103.020722241193,139.5334309727201,86.6605445173834,124.0549020793056,78.4534658206604,130.1570937268688
2006-04,100.646231092356,135.4546609360787,85.1752158984497,120.1145513699307,81.5363634791256,124.8289294149024
2006-05,82.9682864143202,130.6546897773771,74.7002585596962,117.0215130825689,74.4764022713938,119.3371701141041
2006-06,92.7215988709991,123.5792001077822,83.6853235257362,108.7157440532735,88.0288368556054,112.5159138613372
2006-07,99.4648812237542,123.8427812802713,100.287111431321,108.6927536329202,98.6421564141786,113.2928943947245
2006-08,73.7023375749267,122.5489150416518,54.5022580267496,108.2764568289408,79.787000621376,113.4576127453029
2006-09,73.9731609541328,121.5713803745758,78.5101714638626,108.5122171617472,72.7790587068149,112.8927492038159
2006-10,67.3291764339597,118.8197150306147,61.1309870457359,106.4177479991985,65.1101823182556,111.844711730591
2006-11,75.0876545455528,117.2153232018481,62.672553778443,106.5113943831293,72.1645873928894,110.7960280473021
2006-12,114.476566329907,113.2795504559866,109.606508105695,106.2948227887453,108.514582332606,106.1334618864687
2007-01,82.2552766790255,104.8115472917888,82.2562410490701,100.868370359971,81.7799175804901,96.34930133636915
2007-02,97.4470746422306,88.5910805835298,77.5388912503962,79.72717205437824,98.0396733082906,83.27601892514053
2007-03,67.5836054293583,85.6379875158769,52.9339824440037,76.91662521492994,58.3485591740682,81.60061003792451
2007-04,66.9948505818385,82.83370580666711,58.0961643434447,74.66003758534619,51.2701888287975,79.07842881706385
2007-05,85.5114739656133,83.04563810260821,74.5019414721107,74.64351116138073,85.6118236241407,80.00638059645941
2007-06,68.5663651151925,81.03270195629099,55.0986179423385,72.26128569609759,60.3146960364064,77.69686886152617
2007-07,68.9208926855965,78.48736957811118,52.2633117898219,68.25930239263933,58.9187673699494,74.38658644117373
2007-08,40.2553849555923,75.70012352649998,30.8080537608815,66.28478537048365,32.3860384003778,70.43650625609055
2007-09,60.2206901070156,74.55408428924021,59.1904513429425,64.6748086937403,54.1874830542653,68.88720828504475
2007-10,71.4702381309707,74.89917276399113,65.1141172894355,65.00673621404862,66.0850061248997,68.9684436022651
2007-11,55.3007400920068,73.25026322619563,43.3183144774868,63.39388293896892,42.4547424793491,66.4926231928034
2007-12,59.0296850105468,68.62968978291562,53.1982704002465,58.69319646351489,46.2573617415855,61.30452147688502
2008-01,40.7562722229666,65.17143941157737,37.0914485216515,54.92946375289667,33.1840577452364,57.25486649061389
2008-02,60.4099226503364,62.08501007891953,54.9107169068656,53.04378255760245,52.6728409914174,53.47429713087445
